api_parsing | 2025-02-28 21:40:17 | INFO | Обрабатываем категорию: Night Creams (ID: night-cream)
api_parsing | 2025-02-28 21:40:18 | ERROR | Серверная ошибка 500 для категории night-cream, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:18 | WARNING | Не удалось получить продукты для категории Night Creams.
api_parsing | 2025-02-28 21:40:18 | INFO | Обрабатываем категорию: Face Oils (ID: cleansing-oil-face-oil)
api_parsing | 2025-02-28 21:40:18 | ERROR | Серверная ошибка 500 для категории cleansing-oil-face-oil, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:18 | WARNING | Не удалось получить продукты для категории Face Oils.
api_parsing | 2025-02-28 21:40:18 | INFO | Обрабатываем категорию: Mists & Essences (ID: face-mist-face-spray)
api_parsing | 2025-02-28 21:40:19 | ERROR | Серверная ошибка 500 для категории face-mist-face-spray, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:19 | WARNING | Не удалось получить продукты для категории Mists & Essences.
api_parsing | 2025-02-28 21:40:19 | INFO | Обрабатываем категорию: BB & CC Cream (ID: bb-cream-cc-cream)
api_parsing | 2025-02-28 21:40:20 | ERROR | Серверная ошибка 500 для категории bb-cream-cc-cream, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:20 | WARNING | Не удалось получить продукты для категории BB & CC Cream.
api_parsing | 2025-02-28 21:40:20 | INFO | Обрабатываем категорию: Cleansers (ID: cleanser)
api_parsing | 2025-02-28 21:40:21 | ERROR | Серверная ошибка 500 для категории cleanser, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:21 | WARNING | Не удалось получить продукты для категории Cleansers.
api_parsing | 2025-02-28 21:40:21 | INFO | Обрабатываем категорию: Face Wash & Cleansers (ID: face-wash-facial-cleanser)
api_parsing | 2025-02-28 21:40:21 | ERROR | Серверная ошибка 500 для категории face-wash-facial-cleanser, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:21 | WARNING | Не удалось получить продукты для категории Face Wash & Cleansers.
api_parsing | 2025-02-28 21:40:21 | INFO | Обрабатываем категорию: Exfoliators (ID: exfoliating-scrub-exfoliator)
api_parsing | 2025-02-28 21:40:22 | ERROR | Серверная ошибка 500 для категории exfoliating-scrub-exfoliator, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:22 | WARNING | Не удалось получить продукты для категории Exfoliators.
api_parsing | 2025-02-28 21:40:22 | INFO | Обрабатываем категорию: Makeup Removers (ID: makeup-remover-skincare)
api_parsing | 2025-02-28 21:40:23 | ERROR | Серверная ошибка 500 для категории makeup-remover-skincare, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:23 | WARNING | Не удалось получить продукты для категории Makeup Removers.
api_parsing | 2025-02-28 21:40:23 | INFO | Обрабатываем категорию: Face Wipes (ID: face-wipes)
api_parsing | 2025-02-28 21:40:23 | ERROR | Серверная ошибка 500 для категории face-wipes, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:23 | WARNING | Не удалось получить продукты для категории Face Wipes.
api_parsing | 2025-02-28 21:40:23 | INFO | Обрабатываем категорию: Toners (ID: facial-toner-skin-toner)
api_parsing | 2025-02-28 21:40:24 | ERROR | Серверная ошибка 500 для категории facial-toner-skin-toner, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:24 | WARNING | Не удалось получить продукты для категории Toners.
api_parsing | 2025-02-28 21:40:24 | INFO | Обрабатываем категорию: Treatments (ID: facial-treatments)
api_parsing | 2025-02-28 21:40:25 | ERROR | Серверная ошибка 500 для категории facial-treatments, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:25 | WARNING | Не удалось получить продукты для категории Treatments.
api_parsing | 2025-02-28 21:40:25 | INFO | Обрабатываем категорию: Face Serums (ID: face-serum)
