api_parsing | 2025-02-28 19:20:03 | ERROR | Серверная ошибка 500 для бренда deborah-lippmann, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:20:03 | WARNING | Пропускаем бренд deborah-lippmann, нет данных или ошибка.
api_parsing | 2025-02-28 19:20:03 | INFO | Обработка бренда: dedcool
api_parsing | 2025-02-28 19:20:04 | INFO | Промежуточно сохранено 1372 строк.
api_parsing | 2025-02-28 19:20:06 | INFO | Обработка бренда: derek-lam-10-crosby
api_parsing | 2025-02-28 19:20:06 | ERROR | Серверная ошибка 500 для бренда derek-lam-10-crosby, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:20:06 | WARNING | Пропускаем бренд derek-lam-10-crosby, нет данных или ошибка.
api_parsing | 2025-02-28 19:20:06 | INFO | Обработка бренда: dermaflash
api_parsing | 2025-02-28 19:20:07 | INFO | Промежуточно сохранено 1375 строк.
api_parsing | 2025-02-28 19:20:09 | INFO | Обработка бренда: dermalogica
api_parsing | 2025-02-28 19:20:09 | INFO | Промежуточно сохранено 1432 строк.
api_parsing | 2025-02-28 19:20:11 | INFO | Обработка бренда: dior
api_parsing | 2025-02-28 19:20:12 | INFO | Промежуточно сохранено 1492 строк.
api_parsing | 2025-02-28 19:20:14 | INFO | Обработка бренда: dolce-gabbana
api_parsing | 2025-02-28 19:20:15 | INFO | Промежуточно сохранено 1532 строк.
api_parsing | 2025-02-28 19:20:17 | INFO | Обработка бренда: dominique-cosmetics
api_parsing | 2025-02-28 19:20:17 | INFO | Промежуточно сохранено 1533 строк.
api_parsing | 2025-02-28 19:20:19 | INFO | Обработка бренда: donna-karan
api_parsing | 2025-02-28 19:20:20 | INFO | Промежуточно сохранено 1537 строк.
api_parsing | 2025-02-28 19:20:22 | INFO | Обработка бренда: dphue
api_parsing | 2025-02-28 19:20:22 | ERROR | Серверная ошибка 500 для бренда dphue, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:20:22 | WARNING | Пропускаем бренд dphue, нет данных или ошибка.
api_parsing | 2025-02-28 19:20:22 | INFO | Обработка бренда: dr-barbara-sturm
api_parsing | 2025-02-28 19:20:23 | INFO | Промежуточно сохранено 1581 строк.
api_parsing | 2025-02-28 19:20:25 | INFO | Обработка бренда: dr-brandt-skincare
api_parsing | 2025-02-28 19:20:25 | ERROR | Серверная ошибка 500 для бренда dr-brandt-skincare, стр. 1. Пропускаем бренд.
api_parsing | 2025-02-28 19:20:25 | WARNING | Пропускаем бренд dr-brandt-skincare, нет данных или ошибка.
